date,day,confirmed,recovered,deaths,removed,infected,susceptible,new_confirmed,new_removed,exposed,model_susceptible,model_exposed,model_infected,model_removed,model_confirmed,beta,sigma,gamma
2020-09-03,186,42877.0,24207.0,257.0,24464.0,18413.0,29093931.0,1228.0,923.0,5537.0,29093771.267764598,5509.593464262136,18252.69048469296,24467.448286445502,42720.13877113846,0.06773667520285459,0.2,0.07429533481779178
2020-09-04,187,44236.0,25561.0,271.0,25832.0,18404.0,29092572.0,1359.0,1368.0,5675.0,29092693.94536697,5654.261997213777,18173.930650516468,25822.861985300016,43996.792635816484,0.06949259460820666,0.2,0.08557922190828081
2020-09-05,188,45277.0,27127.0,280.0,27407.0,17870.0,29091531.0,1041.0,1575.0,5817.0,29091309.5791087,5790.050567034371,17994.317822651377,27389.052501613325,45383.3703242647,0.06021668478203231,0.2,0.10201454952434247
2020-09-06,189,46257.0,28941.0,289.0,29230.0,17027.0,29090551.0,980.0,1823.0,5728.0,29090475.975447576,5718.1931238366615,17233.67447136326,29197.15695722231,46430.831428585574,0.059094227898417076,0.2,0.10260175016150819
2020-09-07,190,47236.0,30677.0,300.0,30977.0,16259.0,29089572.0,979.0,1747.0,5587.0,29089563.840756424,5583.87446324853,16441.585138828217,30946.69964150073,47388.28478032895,0.04875361860650814,0.2,0.1410295836152285
2020-09-08,191,48138.0,32964.0,306.0,33270.0,14868.0,29088670.0,902.0,2293.0,5261.0,29088808.43041944,5265.476780649221,15131.699538191067,33189.393261717305,48321.09279990837,0.05215773481461573,0.2,0.062146892655367235
2020-09-09,192,49219.0,33882.0,312.0,34194.0,15025.0,29087589.0,1081.0,924.0,4983.0,29087892.988679405,5011.667500881018,14966.976150666598,34197.36766904643,49164.34381971302,0.08010870035560137,0.2,0.12133111480865225
2020-09-10,193,50465.0,35700.0,317.0,36017.0,14448.0,29086343.0,1246.0,1823.0,5188.0,29086418.71411174,5139.484432607502,14263.273749369217,35969.52770628277,50232.80145565199,0.10480499973204442,0.2,0.0676218161683278
2020-09-11,194,51919.0,36672.0,322.0,36994.0,14925.0,29084889.0,1454.0,977.0,5662.0,29084826.79176424,5621.932881179658,14550.271347470029,36997.0040071106,51547.275354580626,0.09090905991067441,0.2,0.05802345058626466
2020-09-12,195,53120.0,37524.0,336.0,37860.0,15260.0,29083688.0,1201.0,866.0,5884.0,29083522.128560826,5874.892034815568,15204.984659800175,37867.99474455741,53072.97940435758,0.08625161169327193,0.2,0.07745740498034076
2020-09-13,196,54159.0,38697.0,345.0,39042.0,15117.0,29082649.0,1039.0,1182.0,6021.0,29082374.082329273,6008.2814463847235,15267.503655423321,39042.132568920366,54309.63622434369,0.08570538165294192,0.2,0.059138717999603095
2020-09-14,197,55329.0,39576.0,360.0,39936.0,15393.0,29081479.0,1170.0,894.0,6110.0,29081342.562614948,6114.062970581187,15427.203013148785,39945.17140132432,55372.3744144731,0.09340155660594783,0.2,0.06970700967972455
2020-09-15,198,56788.0,40638.0,371.0,41009.0,15779.0,29080020.0,1459.0,1073.0,6323.0,29080036.621134162,6309.965236715979,15556.869444478678,41014.54418464293,56571.41362912161,0.08569842979906853,0.2,0.06819190062741619
2020-09-16,199,58327.0,41706.0,379.0,42085.0,16242.0,29078481.0,1539.0,1076.0,6408.0,29078662.30875125,6407.617811517866,15969.597231328256,42091.476205902465,58061.07343723072,0.08184096523615868,0.2,0.07677625908139392
2020-09-17,200,59573.0,42949.0,383.0,43332.0,16241.0,29077235.0,1246.0,1247.0,6453.0,29077152.93686123,6450.156249874453,16279.50303429357,43333.40385460419,59612.90688889776,0.14015479464187572,0.2,0.05406071054738009
2020-09-18,201,61593.0,43820.0,390.0,44210.0,17383.0,29075215.0,2020.0,878.0,7434.0,29074930.799181964,7372.689397299211,16734.87553307009,44222.63588766583,60957.511420735915,0.08767310971040788,0.2,0.0838750503365357
2020-09-19,202,62797.0,45267.0,401.0,45668.0,17129.0,29074011.0,1204.0,1458.0,7468.0,29073692.92060666,7466.014263517485,17413.800371436886,45669.26475838313,63083.06512982001,0.07954560114897583,0.2,0.05697939167493724
2020-09-20,203,64122.0,46233.0,411.0,46644.0,17478.0,29072686.0,1325.0,976.0,7334.0,29072631.579919517,7365.109712291142,17621.05886962249,46658.251498569625,64279.31036819212,0.06203146764094967,0.2,0.058416294770568714
2020-09-21,204,65276.0,47238.0,427.0,47665.0,17611.0,29071532.0,1154.0,1021.0,6949.0,29071591.417733196,6997.024609185126,17876.47434003916,47677.08331758109,65553.55765762026,0.08535390313359997,0.2,0.046845721424109935
2020-09-22,205,66632.0,48061.0,429.0,48490.0,18142.0,29070176.0,1356.0,825.0,7059.0,29070008.234067798,7071.145110410768,18174.41583416817,48503.20498762418,66677.62082179234,0.03114829075188337,0.2,0.10472935729247052
2020-09-23,206,67804.0,49954.0,436.0,50390.0,17414.0,29069004.0,1172.0,1900.0,6211.0,29069620.348786525,6282.79200778322,17601.302633216324,50362.55657247389,67963.85920569021,0.08836458498622375,0.2,0.02721947858045251
2020-09-24,207,69301.0,50411.0,453.0,50864.0,18437.0,29067507.0,1497.0,474.0,6504.0,29067434.423863918,6508.762184680177,18201.187078799507,50874.626872601744,69075.81395140124,0.070069570936693,0.2,0.07924282692411998
2020-09-25,208,70614.0,51866.0,459.0,52325.0,18289.0,29066194.0,1313.0,1461.0,6492.0,29066223.715147886,6487.959270335681,18281.54550990064,52318.78007187725,70600.32558177788,0.07407092342458196,0.2,0.06315271474656897
2020-09-26,209,71821.0,53013.0,467.0,53480.0,18341.0,29064987.0,1207.0,1155.0,6545.0,29064837.314976968,6544.986199724274,18433.154815255555,53484.544008052355,71917.6988233079,0.08340716538919672,0.2,0.04879777547571016
