wave,scenario,date,model_S,model_E,model_I,model_R,model_confirmed,beta,actual_confirmed,basic_R0,effective_Re 
wave_2,Paper beta (0% reduction),2021-04-24,23282506.94000792,2744.202821536567,11271.03788353666,5840285.819287004,276778.63934416644,0.0536,297087.0,0.8535031847133758,0.6820134114007285
wave_2,Paper beta (0% reduction),2021-04-25,23282028.05561127,2700.415237164217,11091.539916491263,5840987.989235072,276803.36172886885,0.0536,300119.0,0.8535031847133758,0.6819993834619902
wave_2,Paper beta (0% reduction),2021-04-26,23281556.807680894,2657.330705704297,10914.8853905146,5841678.976222887,276827.6896543138,0.0536,303561.0,0.8535031847133758,0.6819855792179094
wave_2,Paper beta (0% reduction),2021-04-27,23281093.074906055,2614.9367571619455,10741.030883422978,5842358.957453361,276851.6294483298,0.0536,307925.0,0.8535031847133758,0.6819719951149363
wave_2,Paper beta (0% reduction),2021-04-28,23280636.737845,2573.2213996847045,10569.93334161099,5843028.107413706,276875.1873277264,0.0536,312699.0,0.8535031847133758,0.6819586276542688
wave_2,Paper beta (0% reduction),2021-04-29,23280187.67890726,2532.173052173018,10401.550140018517,5843686.597900551,276898.3694023188,0.0536,317530.0,0.8535031847133758,0.6819454733913349
wave_2,Paper beta (0% reduction),2021-04-30,23279745.78233374,2491.7804906740835,10235.839127253977,5844334.598048336,276921.18167840526,0.0536,323187.0,0.8535031847133758,0.6819325289352087
wave_2,Paper beta (0% reduction),2021-05-01,23279310.934175137,2452.0328056395083,10072.758659056974,5844972.274360171,276943.6300618093,0.0536,328893.0,0.8535031847133758,0.6819197909479784
wave_2,Paper beta (0% reduction),2021-05-02,23278883.022269167,2412.919367747203,9912.267622607003,5845599.790740483,276965.720360574,0.0536,336030.0,0.8535031847133758,0.6819072561440795
wave_2,Paper beta (0% reduction),2021-05-03,23278461.93621691,2374.4298004762722,9754.325453652144,5846217.308528968,276987.4582873778,0.0536,343418.0,0.8535031847133758,0.6818949212896012
wave_2,Paper beta (0% reduction),2021-05-04,23278047.567358565,2336.5539580082404,9598.892148011988,5846824.986535422,277008.8494617262,0.0536,351005.0,0.8535031847133758,0.6818827832015771
wave_2,Paper beta (0% reduction),2021-05-05,23277639.808748838,2299.28190733086,9445.92826867862,5847422.981075158,277029.8994119633,0.0536,359610.0,0.8535031847133758,0.6818708387472637
wave_2,Paper beta (0% reduction),2021-05-06,23277238.555132106,2262.6039136593286,9295.394949479118,5848011.446004762,277050.61357713543,0.0536,368580.0,0.8535031847133758,0.6818590848434126
